movie_id,title,rating,overview,genres,release_date,keywords,cast,director,comb
19995,Avatar,7.2,"in the 22nd century, a paraplegic marine is dispatched to the moon pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",2009-12-10,"['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",['James Cameron'],"19995 Avatar 7.2 Action, Adventure, Fantasy, Science Fiction Sam Worthington, Zoe Saldana, Sigourney Weaver James Cameron"
285,Pirates of the Caribbean: At World's End,6.9,"captain barbossa, long believed to be dead, has come back to life and is headed to the edge of the earth with will turner and elizabeth swann. but nothing is quite as it seems.","['Adventure', 'Fantasy', 'Action']",2007-05-19,"['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],"285 Pirates of the Caribbean: At World's End 6.9 Adventure, Fantasy, Action Johnny Depp, Orlando Bloom, Keira Knightley Gore Verbinski"
206647,Spectre,6.3,"a cryptic message from bondâs past sends him on a trail to uncover a sinister organization. while m battles political forces to keep the secret service alive, bond peels back the layers of deceit to reveal the terrible truth behind spectre.","['Action', 'Adventure', 'Crime']",2015-10-26,"['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']",['Sam Mendes'],"206647 Spectre 6.3 Action, Adventure, Crime Daniel Craig, Christoph Waltz, Léa Seydoux Sam Mendes"
49026,The Dark Knight Rises,7.6,"following the death of district attorney harvey dent, batman assumes responsibility for dent's crimes to protect the late attorney's reputation and is subsequently hunted by the gotham city police department. eight years later, batman encounters the mysterious selina kyle and the villainous bane, a new terrorist leader who overwhelms gotham's finest. the dark knight resurfaces to protect a city that has branded him an enemy.","['Action', 'Crime', 'Drama', 'Thriller']",2012-07-16,"['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']","['Christian Bale', 'Michael Caine', 'Gary Oldman']",['Christopher Nolan'],"49026 The Dark Knight Rises 7.6 Action, Crime, Drama, Thriller Christian Bale, Michael Caine, Gary Oldman Christopher Nolan"
49529,John Carter,6.1,"john carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of barsoom (mars) and reluctantly becomes embroiled in an epic conflict. it's a world on the brink of collapse, and carter rediscovers his humanity when he realizes the survival of barsoom and its people rests in his hands.","['Action', 'Adventure', 'Science Fiction']",2012-03-07,"['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']","['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton']",['Andrew Stanton'],"49529 John Carter 6.1 Action, Adventure, Science Fiction Taylor Kitsch, Lynn Collins, Samantha Morton Andrew Stanton"
559,Spider-Man 3,5.9,"the seemingly invincible spider-man goes up against an all-new crop of villain â including the shape-shifting sandman. while spider-manâs superpowers are altered by an alien organism, his alter ego, peter parker, deals with nemesis eddie brock and also gets caught up in a love triangle.","['Fantasy', 'Action', 'Adventure']",2007-05-01,"['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],"559 Spider-Man 3 5.9 Fantasy, Action, Adventure Tobey Maguire, Kirsten Dunst, James Franco Sam Raimi"
38757,Tangled,7.4,"when the kingdom's most wanted-and most charming-bandit flynn rider hides out in a mysterious tower, he's taken hostage by rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['Animation', 'Family']",2010-11-24,"['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']","['Zachary Levi', 'Mandy Moore', 'Donna Murphy']","['Byron Howard', 'Nathan Greno']","38757 Tangled 7.4 Animation, Family Zachary Levi, Mandy Moore, Donna Murphy Byron Howard, Nathan Greno"
99861,Avengers: Age of Ultron,7.3,"when tony stark tries to jumpstart a dormant peacekeeping program, things go awry and earthâs mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance. as the villainous ultron emerges, it is up to the avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['Action', 'Adventure', 'Science Fiction']",2015-04-22,"['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",['Joss Whedon'],"99861 Avengers: Age of Ultron 7.3 Action, Adventure, Science Fiction Robert Downey Jr., Chris Hemsworth, Mark Ruffalo Joss Whedon"
767,Harry Potter and the Half-Blood Prince,7.4,"as harry begins his sixth year at hogwarts, he discovers an old book marked as 'property of the half-blood prince', and begins to learn more about lord voldemort's dark past.","['Adventure', 'Fantasy', 'Family']",2009-07-07,"['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates'],"767 Harry Potter and the Half-Blood Prince 7.4 Adventure, Fantasy, Family Daniel Radcliffe, Rupert Grint, Emma Watson David Yates"
209112,Batman v Superman: Dawn of Justice,5.7,"fearing the actions of a god-like super hero left unchecked, gotham cityâs own formidable, forceful vigilante takes on metropolisâs most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. and with batman and superman at war with one another, a new threat quickly arises, putting mankind in greater danger than itâs ever known before.","['Action', 'Adventure', 'Fantasy']",2016-03-23,"['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']","['Ben Affleck', 'Henry Cavill', 'Gal Gadot']",['Zack Snyder'],"209112 Batman v Superman: Dawn of Justice 5.7 Action, Adventure, Fantasy Ben Affleck, Henry Cavill, Gal Gadot Zack Snyder"
