movie_id,title,rating,genres,keywords,cast,director,comb
19995,Avatar,7.2,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d,Sam Worthington Zoe Saldana Sigourney Weaver,James Cameron,19995 Avatar 7.2 Action Adventure Fantasy Science Fiction culture clash future space war space colony society space travel futuristic romance space alien tribe alien planet cgi marine soldier battle love affair anti war power relations mind and soul 3d Sam Worthington Zoe Saldana Sigourney Weaver James Cameron
285,Pirates of the Caribbean: At World's End,6.9,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger,Johnny Depp Orlando Bloom Keira Knightley,Gore Verbinski,285 Pirates of the Caribbean: At World's End 6.9 Adventure Fantasy Action ocean drug abuse exotic island east india trading company love of one's life traitor shipwreck strong woman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger Johnny Depp Orlando Bloom Keira Knightley Gore Verbinski
206647,Spectre,6.3,Action Adventure Crime,spy based on novel secret agent sequel mi6 british secret service united kingdom,Daniel Craig Christoph Waltz Léa Seydoux,Sam Mendes,206647 Spectre 6.3 Action Adventure Crime spy based on novel secret agent sequel mi6 british secret service united kingdom Daniel Craig Christoph Waltz Léa Seydoux Sam Mendes
49026,The Dark Knight Rises,7.6,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman,Christian Bale Michael Caine Gary Oldman,Christopher Nolan,49026 The Dark Knight Rises 7.6 Action Crime Drama Thriller dc comics crime fighter terrorist secret identity burglar hostage drama time bomb gotham city vigilante cover-up superhero villainess tragic hero terrorism destruction catwoman cat burglar imax flood criminal underworld batman Christian Bale Michael Caine Gary Oldman Christopher Nolan
49529,John Carter,6.1,Action Adventure Science Fiction,based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d,Taylor Kitsch Lynn Collins Samantha Morton,Andrew Stanton,49529 John Carter 6.1 Action Adventure Science Fiction based on novel mars medallion space travel princess alien steampunk martian escape edgar rice burroughs alien race superhuman strength mars civilization sword and planet 19th century 3d Taylor Kitsch Lynn Collins Samantha Morton Andrew Stanton
559,Spider-Man 3,5.9,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge,Tobey Maguire Kirsten Dunst James Franco,Sam Raimi,559 Spider-Man 3 5.9 Fantasy Action Adventure dual identity amnesia sandstorm love of one's life forgiveness spider wretch death of a friend egomania sand narcism hostility marvel comic sequel superhero revenge Tobey Maguire Kirsten Dunst James Franco Sam Raimi
38757,Tangled,7.4,Animation Family,hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick,Zachary Levi Mandy Moore Donna Murphy,Byron Howard Nathan Greno,38757 Tangled 7.4 Animation Family hostage magic horse fairy tale musical princess animation tower blonde woman selfishness healing power based on fairy tale duringcreditsstinger healing gift animal sidekick Zachary Levi Mandy Moore Donna Murphy Byron Howard Nathan Greno
99861,Avengers: Age of Ultron,7.3,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d,Robert Downey Jr. Chris Hemsworth Mark Ruffalo,Joss Whedon,99861 Avengers: Age of Ultron 7.3 Action Adventure Science Fiction marvel comic sequel superhero based on comic book vision superhero team duringcreditsstinger marvel cinematic universe 3d Robert Downey Jr. Chris Hemsworth Mark Ruffalo Joss Whedon
767,Harry Potter and the Half-Blood Prince,7.4,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry apparition teenage crush werewolf,Daniel Radcliffe Rupert Grint Emma Watson,David Yates,767 Harry Potter and the Half-Blood Prince 7.4 Adventure Fantasy Family witch magic broom school of witchcraft wizardry apparition teenage crush werewolf Daniel Radcliffe Rupert Grint Emma Watson David Yates
209112,Batman v Superman: Dawn of Justice,5.7,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe,Ben Affleck Henry Cavill Gal Gadot,Zack Snyder,209112 Batman v Superman: Dawn of Justice 5.7 Action Adventure Fantasy dc comics vigilante superhero based on comic book revenge super powers clark kent bruce wayne dc extended universe Ben Affleck Henry Cavill Gal Gadot Zack Snyder
1452,Superman Returns,5.4,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor,Brandon Routh Kevin Spacey Kate Bosworth,Bryan Singer,1452 Superman Returns 5.4 Adventure Fantasy Action Science Fiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor Brandon Routh Kevin Spacey Kate Bosworth Bryan Singer
10764,Quantum of Solace,6.1,Adventure Action Thriller Crime,killing undercover secret agent british secret service,Daniel Craig Olga Kurylenko Mathieu Amalric,Marc Forster,10764 Quantum of Solace 6.1 Adventure Action Thriller Crime killing undercover secret agent british secret service Daniel Craig Olga Kurylenko Mathieu Amalric Marc Forster
58,Pirates of the Caribbean: Dead Man's Chest,7.0,Adventure Fantasy Action,witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger,Johnny Depp Orlando Bloom Keira Knightley,Gore Verbinski,58 Pirates of the Caribbean: Dead Man's Chest 7.0 Adventure Fantasy Action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger Johnny Depp Orlando Bloom Keira Knightley Gore Verbinski
57201,The Lone Ranger,5.9,Action Adventure Western,texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto,Johnny Depp Armie Hammer William Fichtner,Gore Verbinski,57201 The Lone Ranger 5.9 Action Adventure Western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto Johnny Depp Armie Hammer William Fichtner Gore Verbinski
49521,Man of Steel,6.5,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe,Henry Cavill Amy Adams Michael Shannon,Zack Snyder,49521 Man of Steel 6.5 Action Adventure Fantasy Science Fiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe Henry Cavill Amy Adams Michael Shannon Zack Snyder
